,0,1,class
0,1.8049349832474642,1.584167898978786,0
1,5.1823729595484025,2.8718993346921113,1
2,2.1469360972782288,1.5420809575210674,0
3,5.055332341889052,3.235553373691368,1
4,5.159758440954593,3.0956335809515,1
5,2.5037271370284215,1.7581420565416674,0
6,1.7348674670778323,1.9158320418320431,0
7,2.8195348512997978,1.4993964711738343,0
8,1.9825847646270793,1.2321311842510125,0
9,4.965125270078564,2.5680918544739244,1
10,2.487668993086891,1.4309271789020133,0
11,4.336847407222592,3.9186311413863573,1
12,2.284812436134927,0.8943901235039073,0
13,5.533793686767222,1.9254356121641534,1
14,1.3245615163939775,2.6979814504970303,0
15,1.8679781878388235,1.103268405608873,0
16,1.9956959063067081,2.666362411311212,0
17,1.035147076332004,1.473258103525933,0
18,4.324362037877593,3.991464168151935,1
19,4.951274663963692,3.5083621733854358,1
20,2.369922233360061,2.285433667377849,0
21,5.471038976149942,2.6697776554807753,1
22,2.486875106126308,1.835409459951868,0
23,1.4416479353889686,1.6814949333417653,0
24,5.163211154930957,3.212635871504933,1
25,1.2357259933053184,1.9266443489368599,0
26,1.8887423764839821,2.3213263536454263,0
27,1.3844370475712018,2.4428499536364283,0
28,2.4455354957393434,2.547560249098461,0
29,5.487237072118555,3.7218268108080252,1
30,1.5505818569873386,2.030248616428282,0
31,5.550416768231332,2.7016166054915547,1
32,1.2284193074536764,2.4108492891398017,0
33,1.2924799165650285,1.9621413572402109,0
34,2.4715481557018237,2.2106069017294367,0
35,4.618024995198452,3.5702762477869165,1
36,1.7547187552189376,2.1963927766227163,0
37,1.4828315264771066,1.5278465973723545,0
38,5.394444267138253,2.9420974002427656,1
39,5.310172731463769,3.0922722050606577,1
40,5.694862950817329,2.981390579594765,1
41,5.248435266923905,3.1022144939756515,1
42,1.8865003342985087,0.8694987475069478,0
43,1.8791826136795031,2.1619289888467916,0
44,2.149000601480298,2.0570348447921165,0
45,5.875190128413239,1.8483829220088777,1
46,3.0155547692793894,2.0815162070159747,0
47,2.372304232462348,1.8424646005507435,0
48,1.8618049380213009,2.387020310119655,0
49,2.132517836145514,2.1666985013134656,0
50,2.023631594285154,2.3808217924932995,0
51,4.876810895882502,3.0083227637999475,1
52,4.078119656052298,2.4896236985693063,1
53,3.5511370448669957,2.479023281764935,1
54,1.4314133146395203,0.965463630144153,0
55,5.056932264812596,3.368371288099967,1
56,4.66111138940489,2.721528576631676,1
57,2.628827751308478,1.663626901295249,0
58,1.7242568869008594,2.5972809370710017,0
59,1.5983791420149498,1.3455341318213712,0
60,1.7425213613191617,2.2100218446649222,0
61,5.520045651275014,2.34283194932653,1
62,1.5039818323930854,1.1107102266484281,0
63,2.1481606640318276,2.1048682211820213,0
64,2.3296121274352215,1.9280078833017753,0
65,5.159688001684961,2.5002174920483005,1
66,4.7402224815975,3.081668418552924,1
67,5.112416693781093,2.7721759878968464,1
68,2.5375396798528307,2.433723396486687,0
69,1.8382370384035398,1.7920273648555913,0
70,4.196458600873403,2.7362828292514423,1
71,4.5689426472485115,3.2809781950333714,1
72,6.03770943891279,3.7031297937776086,1
73,4.594152804829522,2.799937571082852,1
74,1.2780696620051497,3.018989562720592,0
75,2.904798880691109,2.060827842640348,0
76,1.700532801576219,1.3340240623833193,0
77,4.993945386039917,3.0548770005045807,1
78,1.715890753202175,2.2807815755834326,0
79,1.2317423329391017,1.8324415442563227,0
80,3.5977439526578268,2.7204732485382244,1
81,4.747822727516929,3.9038900832902144,1
82,1.7726593190723714,2.027174200731834,0
83,1.0654766782087775,1.5325916405190334,0
84,5.43437169141628,2.7103016649838336,1
